Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
'00032','00011','00006','00018','00001','00009','00086','00010','00002','00013','00007','00019','00090','00065','00029','00040','00023','00131','00000','00024'
'00035','00020','00025','00022','00003','00012','00113','00014','00004','00021','00008','00027','00137','00072','00030','00062','00041','00169','00046','00028'
'00058','00037','00031','00105','00071','00079','00189','00015','00005','00045','00016','00033','00166','00091','00038','00063','00050','00175','00051','00073'
'00064','00044','00056','00109','00083','00117','00228','00026','00017','00101','00039','00085','00213','00152','00053','00195','00066','00374','00061','00219'
'00076','00048','00067','00126','00084','00119','00231','00059','00034','00123','00070','00133','00260','00153','00054','00205','00092','00489','00080','00367'
'00102','00060','00068','00165','00108','00121','00335','00087','00036','00138','00094','00201','00285','00188','00057','00257','00120','00535','00112','00450'
'00106','00069','00082','00210','00139','00132','00350','00097','00042','00168','00100','00235','00296','00255','00077','00288','00216','00563','00185','00453'
'00127','00078','00088','00261','00141','00136','00357','00140','00043','00194','00114','00301','00338','00280','00095','00302','00271','00583','00208','00568'
'00190','00093','00089','00263','00150','00157','00365','00158','00047','00218','00122','00313','00356','00299','00096','00409','00283','00785','00248','00624'
'00329','00098','00107','00284','00191','00170','00390','00177','00049','00254','00143','00321','00395','00323','00104','00413','00334','00988','00252','00643'
'00355','00099','00110','00307','00198','00172','00466','00179','00052','00256','00154','00393','00546','00340','00130','00418','00346','01001','00253','00645'
'00405','00116','00111','00358','00204','00183','00473','00187','00055','00309','00156','00463','00653','00362','00163','00429','00353','01161','00272','00664'
'00406','00118','00125','00383','00207','00196','00487','00212','00074','00319','00167','00470','00690','00398','00173','00430','00444','01216','00278','00715'
'00407','00124','00128','00400','00226','00199','00518','00214','00075','00361','00174','00506','00736','00423','00192','00448','00464','01248','00300','00765'
'00424','00129','00134','00439','00246','00211','00524','00269','00081','00431','00181','00516','00778','00435','00203','00458','00495','01304','00311','00811'
'00438','00135','00144','00454','00282','00220','00578','00281','00103','00440','00186','00517','00783','00449','00221','00465','00510','01319','00325','00821'
'00478','00142','00155','00459','00303','00233','00617','00290','00115','00442','00197','00522','00787','00479','00222','00503','00520','01401','00347','00947'
'00490','00146','00159','00492','00314','00234','00619','00324','00145','00443','00202','00539','00846','00515','00232','00682','00606','01615','00352','00962'
'00635','00147','00160','00494','00342','00247','00701','00326','00149','00446','00206','00577','00878','00525','00262','00719','00642','01847','00416','00965'
'00662','00148','00171','00538','00373','00251','00707','00327','00161','00477','00268','00616','00942','00555','00265','00745','00652','01897','00428','00993'
'00697','00151','00176','00541','00376','00259','00709','00331','00162','00513','00279','00667','00954','00560','00270','00925','00686','02189','00445','01104'
'00699','00164','00180','00601','00417','00264','00726','00333','00182','00561','00315','00670','01078','00571','00275','01044','00815','02205','00469','01129'
'00708','00178','00184','00623','00468','00267','00727','00337','00200','00567','00339','00712','01112','00595','00289','01067','00890','02223','00497','01225'
'00750','00209','00193','00650','00480','00277','00728','00344','00223','00646','00341','00751','01204','00602','00368','01207','00924','02299','00514','01378'
